Dataset,Source,URL
Demography,Dukcapil 2019,https://www.indonesia-geospasial.com/2020/04/download-shapefile-shp-batas-desa.html
Administrative Boundaries,BIG 2023,https://geoservices.big.go.id/rbi/rest/services/BATASWILAYAH/Administrasi_AR_KelDesa_10K/MapServer/0
